Company ,State,Name of Beer (IPA),IPA_ABV,IPA_IBU
10 Barrel Brewing Co,OR,Apocalypse IPA,6.8,70
10 Barrel Brewing Co,OR,Nature Calls,6.5,55
Appalachian Mountain Brewery,NC,Low and Hazy IPA,4,29
Appalachian Mountain Brewery,NC,Rain Drop IPA,6.7,65
Appalachian Mountain Brewery,NC,LONG LEAF IPA,7.1,74
Breckenridge Brewery,CO,JUICE DROP,7,60
Breckenridge Brewery,CO,HOP PEAK IPA,6.5,57
Cisco Brewers,MA,Wandering Haze IPA,6.8,50
Cisco Brewers,MA,Gripah Grapefruit IPA,5.5,50
Devil's Backbone,VA,Juicy Magic,7,
Devil's Backbone,VA,8 Point ,6.2,
Devil's Backbone,VA,16 Point,9.1,
Devil's Backbone,VA,Cyborg Brain,7,
Four Peaks Brewing ,AZ,RAJ IPA,6.9,55
Four Peaks Brewing ,AZ,Hop Knot ,6.7,47
Four Peaks Brewing ,AZ,IMPERIAL HAZY,8.8,30
Golden Road Brewing,CA,Wolf Pup Session,4.5,45
Golden Road Brewing,CA,Wolf Among Weeds,8,60
Goose Island ,IL,NEON BEER HUG,7,
Goose Island ,IL,TROPICAL BEER HUG,9.9,45
Goose Island ,IL,HAZY BEER HUG,6.8,
Karbach Brewing,TX,Hopadillo,6.6,65
Karbach Brewing,TX,Rodeo Clown,9.5,85
Karbach Brewing,TX,Rodeo Clown Imperial Tropical,9,40
Karbach Brewing,TX,Rodeo Clown Imperial Hazy,8.3,20
Karbach Brewing,TX,Light Circus,6,20
Karbach Brewing,TX,Free & Easy NA,0.05,35
Kona Brewing,HI,Gold Cliff IPA,7.2,50
Kona Brewing,HI,Hanalei Island IPA,4.5,40
Balanced Omission Brewing,OR,Ultimate IPA,4.5,
Platform Brewing,OH,Hazy Jude,6,
Platform Brewing,OH,Odd Future,8.6,
Red Hook,WA,BIG BALLARD IMPERIAL,8.6,66
Red Hook,WA,HAZY BIG BALLARD IMPERIAL,8.7,45
Red Hook,WA,STORM SURGE HAZY,6.8,32
Red Hook,WA,LONG HAMMER IPA,6.2,44
Veza Suri Brewing,FL,VEZA SUR COLD,7,42
Veza Suri Brewing,FL,TORONJIPA,7.5,40
Veza Suri Brewing,FL,HAZY COAST,7.5,45
Wicked Weed Brewing,NC,SESSION INDIA PALE ALE,4.7,
Wicked Weed Brewing,NC,COASTAL LOVE,6.3,
Wicked Weed Brewing,NC,FREAK OF NATURE,8.5,
Wicked Weed Brewing,NC,PERNICIOUS,7.3,
Widmer Brothers Brewing,OR,DEADLIFT IMPERIAL,8.6,70
Widmer Brothers Brewing,OR,HOPCADIA - NW,7.3,55
Widmer Brothers Brewing,OR,COLD WATERS COLD,6.7,55
Widmer Brothers Brewing,OR,JUICY SUNRISE,6.8,50
Widmer Brothers Brewing,OR,GREEN SKIES HAZY,6.6,42
Wynwood Brewing,FL,LACES,6.9,50
